iter,rot_x,rot_y,rot_z,rot_w,mean_x,mean_y,mean_z,mean_w,roll,pitch,yaw,mean_roll,mean_pitch,mean_yaw,success_rate
94,0.795279,0.603032,-0.062320,0.850321,0.024505,0.155467,-0.129533,0.335766,-0.892508,0.062361,0.648770,0.198990,0.138337,0.371436,0.947368
95,0.659738,0.715103,0.231028,0.814379,0.031192,0.161358,-0.125737,0.340804,-1.031835,-0.233134,0.825647,0.186034,0.134427,0.376217,0.947368
96,0.447843,0.774154,0.447350,0.737941,0.035532,0.167742,-0.119767,0.344941,-1.312781,-0.463800,1.046341,0.170421,0.128196,0.383198,0.947368
97,0.219513,0.796359,0.563583,0.631304,0.037428,0.174222,-0.112723,0.347893,-1.720277,-0.598717,1.301830,0.150929,0.120702,0.392668,0.950000
98,0.032987,0.798096,0.601627,0.509254,0.037383,0.180588,-0.105433,0.349540,-2.187650,-0.645536,1.529488,0.127066,0.112883,0.404268,0.950000
99,-0.086945,0.782991,0.615927,-0.388345,0.036127,0.186673,-0.098147,0.342086,-2.651802,-0.663562,1.681386,0.098997,0.105040,0.417169,0.950000
100,-0.160429,0.736373,0.657281,-0.284830,0.034162,0.192170,-0.090593,0.335817,-3.102191,-0.717205,1.785308,0.066985,0.096818,0.430850,0.950000
101,-0.238440,0.631553,0.737758,-0.210554,0.031463,0.196521,-0.082391,0.330408,2.703555,-0.829743,1.931796,0.093090,0.087644,0.445711,0.950000
102,-0.365846,0.448224,0.815630,-0.173521,0.027568,0.198988,-0.073587,0.325467,2.112444,-0.953817,2.255345,0.112887,0.077433,0.463452,0.952381
103,-0.546953,0.189577,0.815416,-0.174548,0.021990,0.198897,-0.064956,0.320613,1.381362,-0.953447,2.807946,0.125202,0.067425,0.486214,0.952381
104,-0.731261,-0.109660,0.673225,-0.207371,0.014747,0.195930,-0.057858,0.315536,0.821961,-0.738561,-2.992741,0.131902,0.059675,0.452763,0.952381
105,-0.810523,-0.291335,0.508110,-0.238318,0.006887,0.191289,-0.052468,0.310261,0.634843,-0.532989,-2.796532,0.136692,0.054030,0.421817,0.952381
106,-0.810524,-0.291338,0.508107,-0.238319,-0.000824,0.186736,-0.047179,0.305086,0.634841,-0.532985,-2.796529,0.141391,0.048493,0.391456,0.952381
107,-0.810524,-0.291338,0.508107,-0.238319,-0.008392,0.182268,-0.041990,0.300007,0.634841,-0.532985,-2.796529,0.146003,0.043058,0.361661,0.954545
