iter,rot_x,rot_y,rot_z,rot_w,mean_x,mean_y,mean_z,mean_w,roll,pitch,yaw,mean_roll,mean_pitch,mean_yaw,a_x,a_y,a_z,a_mag,alpha_x,alpha_y,alpha_z,alpha_mag,success_rate
72,0.278843,0.712662,-0.643707,0.224700,0.121833,0.481671,-0.100908,0.243529,3.059790,0.699333,1.197839,-0.203046,0.092087,1.232315,-0.000153,-0.000081,0.000341,0.000383,-0.000724,0.000156,0.000706,0.001023,0.928571
73,0.325030,0.713754,-0.620411,0.238535,0.124617,0.484850,-0.108024,0.243461,2.986945,0.669267,1.143477,-0.159348,0.099994,1.231098,-0.000154,-0.000015,0.000400,0.000429,-0.000709,-0.000465,0.000614,0.001047,0.933333
74,0.369150,0.714078,-0.594828,0.252502,0.127921,0.487948,-0.114602,0.243583,2.917557,0.637052,1.093673,-0.117768,0.107251,1.229241,-0.000201,-0.000054,0.000322,0.000383,-0.000805,0.000057,0.000676,0.001053,0.933333
75,0.411145,0.713710,-0.567079,0.266622,0.131698,0.490958,-0.120635,0.243890,2.851254,0.602955,1.048160,-0.078181,0.113860,1.226826,-0.000220,-0.000032,0.000319,0.000389,-0.000838,-0.000065,0.000647,0.001061,0.933333
76,0.451110,0.712718,-0.537153,0.280976,0.135900,0.493876,-0.126116,0.244378,2.787392,0.567058,1.006505,-0.040476,0.119824,1.223927,-0.000233,0.000012,0.000350,0.000421,-0.000866,-0.000427,0.000598,0.001135,0.933333
77,0.488365,0.711200,-0.505662,0.295354,0.140478,0.496698,-0.131045,0.245040,2.726572,0.530149,0.969068,-0.004540,0.125152,1.220617,-0.000280,-0.000057,0.000203,0.000351,-0.000951,0.000486,0.000668,0.001259,0.933333
78,0.523217,0.709230,-0.472480,0.309897,0.145385,0.499423,-0.135422,0.245872,2.667829,0.492102,0.935198,0.029721,0.129857,1.216958,-0.000282,0.000013,0.000270,0.000390,-0.000960,-0.000158,0.000583,0.001135,0.937500
79,0.555479,0.706897,-0.437881,0.324560,0.150576,0.502049,-0.139251,0.246868,2.611018,0.453240,0.904774,0.062395,0.133950,1.213006,-0.000304,0.000012,0.000223,0.000377,-0.001006,0.000015,0.000575,0.001159,0.937500
80,0.585083,0.704289,-0.402063,0.339336,0.156007,0.504577,-0.142536,0.248024,2.555841,0.413769,0.877589,0.093564,0.137448,1.208814,-0.000320,0.000025,0.000196,0.000376,-0.001043,0.000030,0.000549,0.001179,0.937500
81,0.611932,0.701499,-0.365291,0.354188,0.161636,0.507008,-0.145286,0.249334,2.502102,0.373945,0.853486,0.123299,0.140368,1.204427,-0.000335,0.000029,0.000151,0.000369,-0.001074,0.000157,0.000527,0.001207,0.937500
82,0.636038,0.698612,-0.327714,0.369130,0.167421,0.509345,-0.147511,0.250795,2.449449,0.333883,0.832248,0.151666,0.142728,1.199888,-0.000346,0.000052,0.000138,0.000376,-0.001107,0.000072,0.000490,0.001213,0.937500
83,0.657463,0.695702,-0.289379,0.384212,0.173325,0.511590,-0.149220,0.252403,2.397417,0.293578,0.813650,0.178724,0.144545,1.195235,-0.000359,0.000090,0.000149,0.000399,-0.001157,-0.000169,0.000448,0.001252,0.882353
84,0.676031,0.692878,-0.250803,0.399300,0.179310,0.513749,-0.150430,0.254151,2.346189,0.253509,0.797705,0.204527,0.145842,1.190502,-0.000364,0.000056,0.000036,0.000370,-0.001151,0.000369,0.000434,0.001284,0.941176
85,0.691873,0.690206,-0.211961,0.414470,0.185340,0.515825,-0.151153,0.256038,2.295239,0.213582,0.784192,0.229123,0.146639,1.185722,-0.000373,0.000106,0.000065,0.000393,-0.001204,0.000008,0.000383,0.001264,0.941176
86,0.704961,0.687773,-0.173199,0.429652,0.191382,0.517824,-0.151410,0.258056,2.244544,0.174076,0.773058,0.252558,0.146958,1.180924,-0.000372,0.000098,-0.000005,0.000385,-0.001203,0.000261,0.000351,0.001281,0.941176
87,0.715368,0.685651,-0.134651,0.444857,0.197405,0.519753,-0.151217,0.260203,2.193831,0.135062,0.764190,0.274872,0.146822,1.176134,-0.000375,0.000121,-0.000022,0.000395,-0.001232,0.000181,0.000309,0.001283,0.941176
88,0.723169,0.683906,-0.096434,0.460101,0.203380,0.521618,-0.150595,0.262475,2.142811,0.096584,0.757502,0.296098,0.146251,1.171376,-0.000379,0.000149,-0.000032,0.000409,-0.001272,0.000063,0.000266,0.001301,0.941176
89,0.728414,0.682608,-0.058819,0.475336,0.209279,0.523427,-0.149563,0.264867,2.091427,0.058853,0.752946,0.316271,0.145269,1.166675,-0.000372,0.000147,-0.000089,0.000410,-0.001266,0.000227,0.000226,0.001306,0.888889
90,0.731191,0.681816,-0.022063,0.490515,0.215078,0.525187,-0.148147,0.267374,2.039624,0.022064,0.750470,0.335419,0.143900,1.162050,-0.000360,0.000147,-0.000142,0.000414,-0.001251,0.000365,0.000183,0.001316,0.888889
91,0.731608,0.681581,0.014024,0.505775,0.220754,0.526906,-0.146365,0.269994,1.986728,-0.014025,0.750013,0.353565,0.142164,1.157523,-0.000385,0.000228,-0.000076,0.000454,-0.001398,-0.000241,0.000136,0.001426,0.888889
92,0.729781,0.681950,0.048626,0.520821,0.226287,0.528591,-0.144245,0.272720,1.933564,-0.048645,0.751530,0.370739,0.140090,1.153110,-0.000313,0.000114,-0.000287,0.000440,-0.001145,0.000901,0.000095,0.001460,0.888889
93,0.725831,0.682960,0.082068,0.535843,0.231658,0.530251,-0.141812,0.275549,1.879297,-0.082160,0.754977,0.386960,0.137701,1.148829,-0.000348,0.000219,-0.000187,0.000451,-0.001343,0.000075,0.000047,0.001346,0.888889
94,0.719883,0.684646,0.114138,0.550796,0.236852,0.531893,-0.139089,0.278478,1.823900,-0.114387,0.760315,0.402247,0.135019,1.144696,-0.000329,0.000218,-0.000236,0.000460,-0.001326,0.000191,0.000002,0.001340,0.894737
95,0.712130,0.687017,0.144495,0.565565,0.241855,0.533526,-0.136104,0.281500,1.767649,-0.145002,0.767451,0.416620,0.132071,1.140725,-0.000283,0.000177,-0.000327,0.000467,-0.001202,0.000602,-0.000043,0.001344,0.894737
96,0.702702,0.690092,0.173155,0.580194,0.246656,0.535157,-0.132882,0.284611,1.710236,-0.174032,0.776344,0.430095,0.128883,1.136929,-0.000282,0.000215,-0.000318,0.000477,-0.001266,0.000357,-0.000088,0.001319,0.894737
